Class,TP,FP,FN,TN,Sensitivity,Specificity,MCC,AUC
0,41,11,5,32,0.891304347826087,0.744186046511628,0.644346687491398,0.901415571284125
1,5,10,11,63,0.3125,0.863013698630137,0.180040806733778,0.756849315068493
2,2,10,13,64,0.133333333333333,0.864864864864865,-0.00197484275323477,0.781081081081081
3,1,8,8,72,0.111111111111111,0.9,0.0111111111111111,0.798611111111111
4,1,0,2,86,0.333333333333333,1,0.570751763692041,0.647286821705426
