Class,TP,FP,FN,TN,Sensitivity,Specificity,MCC,AUC
0,39,11,7,32,0.847826086956522,0.744186046511628,0.596247327915833,0.839737108190091
1,7,11,9,62,0.4375,0.849315068493151,0.274194007291819,0.589041095890411
2,3,5,12,69,0.2,0.932432432432432,0.17332784699102,0.655855855855856
3,2,8,7,72,0.222222222222222,0.9,0.11668173501244,0.651388888888889
4,0,3,3,83,0,0.965116279069767,-0.0348837209302326,0.596899224806202
