K,Kmeans_DB,Hier_DB
2,2.1012636840334,2.40117092062563
3,2.21838724215264,2.11296954992525
4,2.29484814650732,2.08812471276614
5,2.18242535309225,2.38860946078727
6,2.12537319488748,2.22152620992081
